Ключ Нутриента;Название нутриента;Потреблено;Норма RDA;Единица измерения;% Покрытия;Статус
calories;Калории;1556.9;2500.0;ккал;62;moderate
protein;Белок;73.8;65.0;г;113;good
fat;Жиры;86.7;80.0;г;108;good
carbs;Углеводы;115.2;350.0;г;32;bad
fiber;Клетчатка;4.4;35.0;г;12;bad
vitamin_a;Витамин A;0.0;900.0;мкг;0;bad
vitamin_c;Витамин C;7.0;90.0;мг;7;bad
vitamin_d;Витамин D;0.0;15.0;мкг;0;bad
vitamin_e;Витамин E;0.0;15.0;мг;0;bad
vitamin_k;Витамин K;0.0;120.0;мкг;0;bad
vitamin_b1;Витамин B1;0.0;1.2;мг;0;bad
vitamin_b2;Витамин B2;0.0;1.3;мг;0;bad
vitamin_b6;Витамин B6;0.0;1.3;мг;0;bad
vitamin_b12;Витамин B12;0.0;2.4;мкг;0;bad
folate;Фолат (B9);0.0;400.0;мкг;0;bad
calcium;Кальций;324.0;1000.0;мг;32;bad
iron;Железо;0.0;8.0;мг;0;bad
magnesium;Магний;0.0;400.0;мг;0;bad
zinc;Цинк;0.0;11.0;мг;0;bad
potassium;Калий;0.0;3400.0;мг;0;bad
sodium;Натрий;176.5;2300.0;мг;7;bad
